dominio,classificacao,links,links_ativos,DR,ahrefs_spam,nofollow,lost,categoria_top,anchor_exemplo,url_exemplo
sport.pl,REVISAR,1,1,71,0,1,0,(sem),wygląda tak,"https://www.sport.pl/Zczuba/7,138263,3615327.html"
a.osmarks.net,REVISAR,5,5,32,0,0,0,(sem),the original,https://a.osmarks.net/content/wikipedia_en_all_maxi_2020-08/A/List_of_Santos_FC_records_and_statisti
filmup.com,REVISAR,5,5,28,0,0,0,(sem),Gabi,http://filmup.com/forum/viewtopic.php?topic=45589&forum=22</FONT><hr&start=15
radiorj.com.br,REVISAR,8,8,20,0,0,0,(sem),Homepage,http://radiorj.com.br/band02.html
dublanet.com.br,REVISAR,2,2,19,0,0,0,(sem),http://www.papodebola.com.br,https://www.dublanet.com.br/comunidade/member.php?action=profile&uid=5054
autoentusiastasclassic.com.br,REVISAR,4,4,13,0,4,0,(sem),Leonardo,https://www.autoentusiastasclassic.com.br/2010/05/camaromania.html
chicomaia.com.br,REVISAR,1,1,11,0,1,0,(sem),http://www.papodebola.com.br/,https://chicomaia.com.br/2010/03/08/estadio-independencia-arena-e-boas-dicas-de-sites/
pt.everybodywiki.com,ESPELHO,7,7,76,0,7,0,(sem),original,https://pt.everybodywiki.com/Eric_Faria
dicionario.sensagent.com,ESPELHO,4,4,65,0,4,0,Sports,Santos: 100 anos,https://dicionario.sensagent.com/wiki/Santos%20Futebol%20Clube/pt-pt/
p2k.stekom.ac.id,ESPELHO,1,1,64,0,1,0,(sem),[1],https://p2k.stekom.ac.id/ensiklopedia/Roberto_Rivellino
wiki2.org,ESPELHO,2,2,64,0,2,0,Sports,Статья на papodebola.com.br,"https://wiki2.org/ru/%D0%9C%D0%BE%D1%80%D0%B5%D0%B9%D1%80%D0%B0,_%D0%90%D0%B9%D0%BC%D0%BE%D1%80%D0%B"
wikimili.com,ESPELHO,1,1,48,0,1,0,(sem),Cinco anos da TV Esporte Interativo,https://wikimili.com/en/TNT_Sports_%28Brazil%29
justapedia.org,ESPELHO,1,1,36,0,1,0,(sem),the original,https://justapedia.org/wiki/Edgardo_Andrada
wikizero.org,ESPELHO,1,1,28,0,1,0,(sem),Cinco anos da TV Esporte Interativo,https://www.wikizero.org/wiki/en/TNT_Sports_(Brazil)
wikipedia.akarpov.ru,ESPELHO,6,6,27,0,0,0,Sports,Статья на papodebola.com.br,https://wikipedia.akarpov.ru/content/wikipedia/A/%D0%9C%D0%BE%D1%80%D0%B5%D0%B9%D1%80%D0%B0%2C_%D0%9
sport.wikisort.org,ESPELHO,4,4,15,0,0,0,(sem),"""Gatti, El loco""",https://sport.wikisort.org/athlete/en/Athlete/Hugo_Gatti
es.knowledger.de,ESPELHO,1,1,15,0,0,0,(sem),http://www.papodebola.com.br/vidadecraque/20050210,http://es.knowledger.de/0705658/RobertoRivelino
turkipedia.com,ESPELHO,1,1,11,0,1,0,(sem),kaynağından,https://turkipedia.com/Edgardo_Andrada
wiki.hoelee.com,ESPELHO,2,2,10,0,0,0,(sem),"""Gatti, El loco""",https://wiki.hoelee.com/content/wikipedia_en_all_maxi_2024-01/A/Hugo_Gatti
wikipedia.figueres.social,ESPELHO,6,6,5,0,6,0,(sem),Perfil a papodebola,https://wikipedia.figueres.social/wiki/Roberto_Rivellino
wikipedia.nlaha.com,ESPELHO,4,4,2,0,0,0,(sem),the original,https://wikipedia.nlaha.com/content/wikipedia_en_all_maxi_2024-01/A/List_of_Santos_FC_records_and_st
wikipedia.blackbriarcomputing.com,ESPELHO,2,2,0,0,0,0,(sem),the original,https://wikipedia.blackbriarcomputing.com/content/wikipedia_en_all_maxi_2024-01/A/List_of_Santos_FC_
portalidea.wiki,ESPELHO,41,41,0,0,41,0,(sem),«Página no site Papo de Bola»,https://portalidea.wiki/wikipedia_pt_all_maxi_2026-02/Alberto_Rodrigues
