dominio,classificacao,links,links_ativos,DR,ahrefs_spam,nofollow,lost,categoria_top,anchor_exemplo,url_exemplo
netvouz.com,TOXICO,5,5,70,0,4,0,(sem),http--www.papodebola.com.br-24horas-z24-frandresch,https://netvouz.com/futuresport/tag/drescher
bye.fyi,TOXICO,1,1,48,0,1,0,Internet,papodebola.com.br,https://bye.fyi/report/8412
maisev.com,TOXICO,1,1,25,0,1,0,(sem),http://www.papodebola.com.br/24horas/z24-manuela.j,https://www.maisev.com/forum/off-topic/12703-ellen-roche-deborah-secco-contato-72-print.html
topsimilarsites.com,TOXICO,2,2,13,0,2,0,(sem),Feed para Papo de Bola »,https://www.topsimilarsites.com/ru/similar/papodebola.com.br
urlm.com.br,TOXICO,1,1,8,0,1,0,(sem),Entrar no site,http://urlm.com.br/www.papodebola.com.br
smiletic.com,TOXICO,1,1,7,0,1,0,(sem),Leonardo,https://smiletic.com/2010/09/03/laworder-rubber-room-20x23/
gottod.com,TOXICO,2,2,3,0,2,0,(sem),оригинала,https://gottod.com/wiki/%D0%96%D1%83%D0%BB%D0%B8%D0%BD%D1%8C%D0%BE
findit.co.in,TOXICO,2,2,2,0,2,0,(sem),papodebola.com.br,https://www.findit.co.in/domains/204921/315452ee7c3d758d6ceed7e6eb184192/
addurl.in,TOXICO,2,2,2,0,2,0,(sem),papodebola.com.br,https://www.addurl.in/domains/204921/d99c5eb92b4faaa290bddf98810c6ffd/
realitygoal.com.ar,TOXICO,3,3,0,0,0,0,(sem),http://www.papodebola.com.br,http://www.realitygoal.com.ar/prensa.htm
backlinkshop.shop,TOXICO,1,1,0,0,1,0,Internet,Rank papodebola.com.br higher with backlinks and g,https://backlinkshop.shop/4q628q8-stacked-dofollow-backlinks-niche-edits-crypto-dual-strategy-double
backlinkvault.shop,TOXICO,1,1,0,0,1,0,Internet,"Complete SEO for papodebola.com.br: guest posts, b",https://backlinkvault.shop/ifyh9iy-45-day-authority-link-packages-journey-fintech-no-traffic-to-dr40
