keyword,volume,posicao_atual,KD,trafego,url_atual,serp_features
classificações de chapecoense,140000,15,21,1129,https://www.papodebola.com.br/futebol/times/chapecoense,"Knowledge panel, Video preview"
horário do jogo do palmeiras hoje,27000,20,34,0,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"AI Overview, Thumbnail, People also ask, Video preview"
próximos jogos do palmeiras,19000,16,24,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"People also ask, Video preview"
jogos de bragantino,17000,20,26,46,https://www.papodebola.com.br/futebol/times/bragantino,"Knowledge panel, Video preview"
escalação palmeiras,14000,18,16,0,https://www.papodebola.com.br/futebol/times/palmeiras/escalacao,"AI Overview, Thumbnail, People also ask, Video preview, Image pack, Knowledge panel"
proximos jogos palmeiras,13000,19,24,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,Video preview
qual o horário do jogo do palmeiras hoje,10000,18,34,8,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"People also ask, Video preview"
palmeiras proximo jogo,9500,19,24,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"People also ask, Video preview"
vasco vs,8200,13,36,18,https://www.papodebola.com.br/futebol/times/vasco,"Video preview, Knowledge panel, Image pack"
resultado do jogo do palmeiras de hoje,8000,20,54,4,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"AI Overview, Video preview, Sitelinks"
placar do jogo do botafogo,7500,14,48,17,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
palmeiras escalação,7100,20,6,0,https://www.papodebola.com.br/futebol/times/palmeiras/escalacao,"AI Overview, Thumbnail, People also ask, Video preview, Image pack"
classificações de vasco,6500,13,5,82,https://www.papodebola.com.br/futebol/times/vasco,"Image pack, Knowledge panel, Video preview"
resultado do jogo do botafogo hoje,5800,20,56,6,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview"
palmeiras proximos jogos,5700,17,48,0,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,"People also ask, Video preview"
rodada libertadores,5400,15,34,0,https://www.papodebola.com.br/futebol/libertadores,"Video preview, Image pack"
jogos de hoje palmeiras,5200,20,63,5,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"AI Overview, Thumbnail, People also ask, Top stories, Video preview"
palmeiras joga hoje que horas,4900,19,34,5,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"AI Overview, Thumbnail, People also ask, Video preview"
jogo do chapecoense,4700,19,34,1,https://www.papodebola.com.br/futebol/times/chapecoense,"Knowledge panel, Video preview"
escalação botafogo,4300,16,8,0,https://www.papodebola.com.br/futebol/times/botafogo/escalacao,"AI Overview, Thumbnail, People also ask, Top stories, Image pack, Video preview, Knowledge panel"
palmeiras hoje horário,4200,18,34,17,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,"People also ask, Video preview"
botafogo hj,4000,16,0,0,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,"People also ask, Video preview, Image pack"
