Keyword,Country,Location,Language,Entities,Branded,Local,Navigational,Informational,Commercial,Transactional,SERP features,Volume,KD,CPC,Organic traffic,Paid traffic,Current position,Current position kind,Current URL,Updated
classificações de chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",140000,21,,1129,0,15,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-15 01:54:53
onde assistir internacional hoje,BR,Brazil,Portuguese,Internacional (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview, Image pack",2000,23,0.10,190,0,5,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-13 00:47:03
próximo jogo do palmeiras,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"Knowledge panel, People also ask, Video preview",251000,41,0.02,102,0,22,,https://www.papodebola.com.br/futebol/times/palmeiras/proximos-jogos,2026-06-11 22:43:01
classificações de vasco,US,United States,Portuguese,Vasco da Gama (Organization),true,false,false,true,false,false,"Image pack, Knowledge panel, Video preview",6500,5,,82,0,13,,https://www.papodebola.com.br/futebol/times/vasco,2026-06-15 21:26:23
papo de bola,BR,Brazil,Portuguese,Papo de Bola (Organization),true,false,false,true,false,false,Image pack,200,0,0.02,72,0,1,,https://www.papodebola.com.br/,2026-05-17 02:52:25
jogos de vasco,BR,Brazil,Portuguese,Vasco da Gama (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",260000,37,0.31,70,0,25,,https://www.papodebola.com.br/futebol/times/vasco,2026-06-14 18:00:42
jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",315000,69,0.03,67,0,26,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-15 15:02:58
palmeiras joga hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview",87000,58,0.17,50,0,22,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-13 00:12:30
jogos de bragantino,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,"Knowledge panel, Video preview",17000,26,0.25,46,0,20,,https://www.papodebola.com.br/futebol/times/bragantino,2026-06-06 07:19:28
jogos de chapecoense,BR,Brazil,Portuguese,Chapecoense (Organization),true,false,false,true,false,false,"People also ask, Knowledge panel, Video preview",32000,31,0.07,25,0,21,,https://www.papodebola.com.br/futebol/times/chapecoense,2026-06-15 18:03:35
jogo palmeiras hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",141000,65,0.17,22,0,28,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 03:58:37
vasco vs,BR,Brazil,Portuguese,Vasco da Gama (Organization),true,false,false,true,false,false,"Video preview, Knowledge panel, Image pack",8200,36,0.02,18,0,13,,https://www.papodebola.com.br/futebol/times/vasco,2026-06-12 20:51:21
palmeiras hoje horário,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"People also ask, Video preview",4200,34,0.13,17,0,18,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-09 15:15:14
placar do jogo do botafogo hoje,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"Featured snippet, People also ask, Video preview",2000,48,0.01,17,0,10,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-15 15:07:08
placar do jogo do botafogo,BR,Brazil,Portuguese,Botafogo (Organization),true,false,false,true,false,false,"People also ask, Video preview",7500,48,0.08,17,0,14,,https://www.papodebola.com.br/futebol/times/botafogo/jogo-hoje,2026-06-14 16:30:05
jogo do inter hoje onde assistir,BR,Brazil,Portuguese,,false,false,false,true,false,false,"Featured snippet, People also ask, Video preview",9900,17,0.10,14,0,22,,https://www.papodebola.com.br/futebol/times/internacional/onde-assistir,2026-06-14 18:14:55
"jogos de hoje, palmeiras",BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Top stories, Video preview",5000,63,,13,0,21,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-14 11:47:01
jogo do bragantino,BR,Brazil,Portuguese,Red Bull Bragantino (Organization),true,false,false,true,false,false,"Video preview, People also ask",27000,67,0.01,13,0,22,,https://www.papodebola.com.br/futebol/times/bragantino,2026-06-15 06:12:46
palmeiras jogo hoje,BR,Brazil,Portuguese,Palmeiras (Organization),true,false,false,true,false,false,"AI Overview, Thumbnail, People also ask, Video preview, Image pack",3400,63,0.29,12,0,14,,https://www.papodebola.com.br/futebol/times/palmeiras/jogo-hoje,2026-06-15 22:15:39
